FactorRank,Team,EFG,OPPEFG,TOVPCT,OPPTOV,ORB,DRB,OPPORB,OPPDRB,FTR,OPPFTR,EFGTOTAL,TOVTOTAL,REBSUM,OPPREBSUM,REBTOTAL,FTRTOTAL,Dec,FourFactors
109,Clemson,51.30%,48.40%,17.70%,22.30%,23.60%,77.20%,22.80%,76.40%,0.27,0.265,0.0116,-0.0115,100.80%,99.20%,0.0032,0.00075,0.02705,2.705
110,Austin Peay,52.00%,53.90%,19.40%,20.80%,34.00%,71.00%,29.00%,66.00%,0.427,0.353,-0.0076,-0.0035,105.00%,95.00%,0.02,0.0111,0.027,2.7
111,Syracuse,51.60%,44.70%,19.00%,21.60%,24.90%,69.50%,30.50%,75.10%,0.402,0.3,0.0276,-0.0065,94.40%,105.60%,-0.0224,0.0153,0.027,2.7
112,Oakland,46.90%,47.80%,21.20%,15.20%,25.40%,79.10%,20.90%,74.60%,0.408,0.228,-0.0036,0.015,104.50%,95.50%,0.018,0.027,0.0264,2.64
113,Murray St,49.90%,49.10%,20.50%,18.70%,27.20%,75.70%,24.30%,72.80%,0.417,0.314,0.0032,0.0045,102.90%,97.10%,0.0116,0.01545,0.02575,2.575
114,Belmont,55.20%,47.60%,17.40%,18.30%,22.40%,76.30%,23.70%,77.60%,0.232,0.248,0.0304,-0.00225,98.70%,101.30%,-0.0052,-0.0024,0.02505,2.505
115,Wake Forest,46.90%,49.30%,19.90%,16.20%,28.60%,79.40%,20.60%,71.40%,0.405,0.326,-0.0096,0.00925,108.00%,92.00%,0.032,0.01185,0.025,2.5
116,E Illinois,49.30%,49.10%,18.70%,24.00%,29.70%,75.80%,24.20%,70.30%,0.28,0.354,0.0008,-0.01325,105.50%,94.50%,0.022,-0.0111,0.02495,2.495
117,N Mex State,48.20%,51.20%,22.30%,21.60%,33.20%,79.20%,20.80%,66.80%,0.282,0.36,-0.012,0.00175,112.40%,87.60%,0.0496,-0.0117,0.02415,2.415
118,Stony Brook,48.20%,45.10%,20.80%,15.90%,26.50%,75.60%,24.40%,73.50%,0.316,0.212,0.0124,0.01225,102.10%,97.90%,0.0084,0.0156,0.02415,2.415
119,UC Irvine,49.90%,43.80%,21.20%,15.30%,29.10%,78.60%,21.40%,70.90%,0.296,0.406,0.0244,0.01475,107.70%,92.30%,0.0308,-0.0165,0.02395,2.395
120,Siena,46.80%,52.20%,18.40%,17.80%,32.30%,78.80%,21.20%,67.70%,0.345,0.332,-0.0216,0.0015,111.10%,88.90%,0.0444,0.00195,0.02325,2.325
121,Charlotte,53.20%,50.20%,20.40%,19.40%,21.60%,78.90%,21.10%,78.40%,0.339,0.261,0.012,0.0025,100.50%,99.50%,0.002,0.0117,0.0232,2.32
122,S Carolina,47.20%,45.00%,17.20%,20.60%,31.90%,73.70%,26.30%,68.10%,0.33,0.44,0.0088,-0.0085,105.60%,94.40%,0.0224,-0.0165,0.0232,2.32
123,TN State,54.70%,48.00%,24.50%,19.60%,28.80%,76.20%,23.80%,71.20%,0.331,0.409,0.0268,0.01225,105.00%,95.00%,0.02,-0.0117,0.02285,2.285
124,Sacred Hrt,50.00%,48.40%,21.70%,14.70%,32.10%,71.40%,28.60%,67.90%,0.348,0.215,0.0064,0.0175,103.50%,96.50%,0.014,0.01995,0.02285,2.285
125,Kansas St,46.80%,47.20%,20.00%,27.90%,29.00%,71.50%,28.50%,71.00%,0.31,0.294,-0.0016,-0.01975,100.50%,99.50%,0.002,0.0024,0.02255,2.255
126,NC-Grnsboro,47.40%,44.60%,16.40%,26.10%,29.90%,73.10%,26.90%,70.10%,0.232,0.4,0.0112,-0.02425,103.00%,97.00%,0.012,-0.0252,0.02225,2.225
127,N Hampshire,49.30%,49.70%,19.40%,17.80%,28.70%,81.00%,19.00%,71.30%,0.266,0.343,-0.0016,0.004,109.70%,90.30%,0.0388,-0.01155,0.02165,2.165
128,AR Lit Rock,48.80%,47.60%,24.00%,21.80%,29.10%,73.30%,26.70%,70.90%,0.427,0.352,0.0048,0.0055,102.40%,97.60%,0.0096,0.01125,0.02015,2.015
129,Creighton,55.00%,50.60%,16.30%,18.60%,24.10%,75.80%,24.20%,75.90%,0.237,0.256,0.0176,-0.00575,99.90%,100.10%,-0.0004,-0.00285,0.0201,2.01
130,Colorado St,53.30%,51.40%,18.90%,17.20%,20.10%,77.00%,23.00%,79.90%,0.403,0.216,0.0076,0.00425,97.10%,102.90%,-0.0116,0.02805,0.0198,1.98
